courseCode,unitCode,infinitive,mood,tense,eu,tu,eleElaVoce,nos,elesElasVoces,ipaEu,ipaTu,ipaEleElaVoce,ipaNos,ipaElesElasVoces,negativeEu,negativeTu,negativeEleElaVoce,negativeNos,negativeElesElasVoces,negativeIpaEu,negativeIpaTu,negativeIpaEleElaVoce,negativeIpaNos,negativeIpaElesElasVoces,tags,curriculumTags
pt-conjugation,present,esquecer,indicativo,presente,esqueço,esqueces,esquece,esquecemos,esquecem,ʃˈkesu,ʃˈkesɨʃ,ʃˈkesɨ,ʃkɨˈsemuʃ,ʃˈkesɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,proteger,indicativo,presente,protejo,proteges,protege,protegemos,protegem,pɾuˈtɐjʒu,pɾuˈteʒɨʃ,pɾuˈteʒɨ,pɾutɨˈʒemuʃ,pɾuˈteʒɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,viver,indicativo,presente,vivo,vives,vive,vivemos,vivem,ˈvivu,ˈvivɨʃ,ˈvivɨ,viˈvemuʃ,ˈvivɐ̃j,,,,,,,,,,,,er
pt-conjugation,present,falar,indicativo,presente,falo,falas,fala,falamos,falam,ˈfaɫu,ˈfaɫɐʃ,ˈfaɫɐ,fɐˈɫɐmuʃ,ˈfaɫɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,morar,indicativo,presente,moro,moras,mora,moramos,moram,ˈmoɾu,ˈmoɾɐʃ,ˈmoɾɐ,muˈɾɐmuʃ,ˈmoɾɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,jogar,indicativo,presente,jogo,jogas,joga,jogamos,jogam,ˈʒogu,ˈʒogɐʃ,ˈʒogɐ,ʒuˈgɐmuʃ,ˈʒogɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,tomar,indicativo,presente,tomo,tomas,toma,tomamos,tomam,ˈtomu,ˈtomɐʃ,ˈtomɐ,tuˈmɐmuʃ,ˈtomɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,almoçar,indicativo,presente,almoço,almoças,almoça,almoçamos,almoçam,aɫˈmosu,aɫˈmosɐʃ,aɫˈmosɐ,aɫmuˈsɐmuʃ,aɫˈmosɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,jantar,indicativo,presente,janto,jantas,janta,jantamos,jantam,ˈʒɐ̃tu,ˈʒɐ̃tɐʃ,ˈʒɐ̃tɐ,ʒɐ̃ˈtɐmuʃ,ˈʒɐ̃tɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,gostar,indicativo,presente,gosto,gostas,gosta,gostamos,gostam,ˈgoʃtu,ˈgoʃtɐʃ,ˈgoʃtɐ,guʃˈtɐmuʃ,ˈgoʃtɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,fechar,indicativo,presente,fecho,fechas,fecha,fechamos,fecham,ˈfɐjʃu,ˈfɐjʃɐʃ,ˈfɐjʃɐ,fɨˈʃɐmuʃ,ˈfɐjʃɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,trabalhar,indicativo,presente,trabalho,trabalhas,trabalha,trabalhamos,trabalham,tɾɐˈbaʎu,tɾɐˈbaʎɐʃ,tɾɐˈbaʎɐ,tɾɐbɐˈʎɐmuʃ,tɾɐˈbaʎɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,practicar,indicativo,presente,pratico,praticas,pratica,praticamos,praticam,pɾɐˈtiku,pɾɐˈtikɐʃ,pɾɐˈtikɐ,pɾɐtiˈkɐmuʃ,pɾɐˈtikɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,acordar,indicativo,presente,acordo,acordas,acorda,acordamos,acordam,ɐˈkoɾdu,ɐˈkoɾdɐʃ,ɐˈkoɾdɐ,ɐkuɾˈdɐmuʃ,ɐˈkoɾdɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,apanhar,indicativo,presente,apanho,apanhas,apanha,apanhamos,apanham,ɐˈpɐɲu,ɐˈpɐɲɐʃ,ɐˈpɐɲɐ,ɐpɐˈɲɐmuʃ,ɐˈpɐɲɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,estudar,indicativo,presente,estudo,estudas,estuda,estudamos,estudam,ʃˈtudu,ʃˈtudɐʃ,ʃˈtudɐ,ʃtuˈdɐmuʃ,ʃˈtudɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,ficar,indicativo,presente,fico,ficas,fica,ficamos,ficam,ˈfiku,ˈfikɐʃ,ˈfikɐ,fiˈkɐmuʃ,ˈfikɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,começar,indicativo,presente,começo,começas,começa,começamos,começam,kuˈmesu,kuˈmesɐʃ,kuˈmesɐ,kumɨˈsɐmuʃ,kuˈmesɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,pagar,indicativo,presente,pago,pagas,paga,pagamos,pagam,ˈpagu,ˈpagɐʃ,ˈpagɐ,pɐˈgɐmuʃ,ˈpagɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,lavar,indicativo,presente,lavo,lavas,lava,lavamos,lavam,ˈɫavu,ˈɫavɐʃ,ˈɫavɐ,ɫɐˈvɐmuʃ,ˈɫavɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,usar,indicativo,presente,uso,usas,usa,usamos,usam,ˈuzu,ˈuzɐʃ,ˈuzɐ,uˈzɐmuʃ,ˈuzɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,pensar,indicativo,presente,penso,pensas,pensa,pensamos,pensam,ˈpẽsu,ˈpẽsɐʃ,ˈpẽsɐ,pẽˈsɐmuʃ,ˈpẽsɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,viajar,indicativo,presente,viajo,viajas,viaja,viajamos,viajam,viˈaʒu,viˈaʒɐʃ,viˈaʒɐ,viɐˈʒɐmuʃ,viˈaʒɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,beijar,indicativo,presente,beijo,beijas,beija,beijamos,beijam,ˈbɐjʒu,ˈbɐjʒɐʃ,ˈbɐjʒɐ,bɐjˈʒɐmuʃ,ˈbɐjʒɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,chamar,indicativo,presente,chamo,chamas,chama,chamamos,chamam,ˈʃɐmu,ˈʃɐmɐʃ,ˈʃɐmɐ,ʃɐˈmɐmuʃ,ˈʃɐmɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,achar,indicativo,presente,acho,achas,acha,achamos,acham,ˈaʃu,ˈaʃɐʃ,ˈaʃɐ,ɐˈʃɐmuʃ,ˈaʃɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,dançar,indicativo,presente,danço,danças,dança,dançamos,dançam,ˈdɐ̃su,ˈdɐ̃sɐʃ,ˈdɐ̃sɐ,dɐ̃ˈsɐmuʃ,ˈdɐ̃sɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,deixar,indicativo,presente,deixo,deixas,deixa,deixamos,deixam,ˈdɐjʃu,ˈdɐjʃɐʃ,ˈdɐjʃɐ,dɐjˈʃɐmuʃ,ˈdɐjʃɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,ligar,indicativo,presente,ligo,ligas,liga,ligamos,ligam,ˈɫigu,ˈɫigɐʃ,ˈɫigɐ,ɫiˈgɐmuʃ,ˈɫigɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,precisar,indicativo,presente,preciso,precisas,precisa,precisamos,precisam,pɾɨˈsizu,pɾɨˈsizɐʃ,pɾɨˈsizɐ,pɾɨsiˈzɐmuʃ,pɾɨˈsizɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,ver,indicativo,presente,vejo,vês,vê,vemos,veem,ˈvɐjʒu,ˈveʃ,ˈve,ˈvemuʃ,ˈveɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,saber,indicativo,presente,sei,sabes,sabe,sabemos,sabem,ˈsɐj,ˈsabɨʃ,ˈsabɨ,sɐˈbemuʃ,ˈsabɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,estar,indicativo,presente,estou,estás,está,estamos,estão,ʃˈto,ʃˈtaʃ,ʃˈta,ʃˈtɐmuʃ,ʃˈtɐ̃w,,,,,,,,,,,,irregular
pt-conjugation,present,ter,indicativo,presente,tenho,tens,tem,temos,têm,ˈtɐɲu,tɐ̃jʃ,tɐ̃j,ˈtemuʃ,ˈtɐ̃jɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,dar,indicativo,presente,dou,dás,dá,damos,dão,ˈdo,ˈdaʃ,ˈda,ˈdɐmuʃ,ˈdɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,chamar-se,indicativo,presente,chamo-me,chamas-te,chama-se,chamamo-nos,chamam-se,ˈʃɐmu-mɨ,ˈʃɐmɐʃ-tɨ,ˈʃɐmɐ-sɨ,ʃɐˈmɐmu-nuʃ,ˈʃɐmɐ̃w-sɨ,,,,,,,,,,,,ar reflexos
pt-conjugation,present,levantar-se,indicativo,presente,levanto-me,levantas-te,levanta-se,levantamo-nos,levantam-se,ɫɨˈvɐ̃tu-mɨ,ɫɨˈvɐ̃tɐʃ-tɨ,ɫɨˈvɐ̃tɐ-sɨ,ɫɨvɐ̃ˈtɐmu-nuʃ,ɫɨˈvɐ̃tɐ̃w-sɨ,não me levanto,não te levantas,não se levanta,não nos levantamos,não se levantam,ˈnɐ̃w̃ ˈmɛ lɨˈvɐ̃tu,ˈnɐ̃w̃ ˈtɛ lɨˈvɐ̃tɐʃ,ˈnɐ̃w̃ sɨ lɨˈvɐ̃tɐ,ˈnɐ̃w̃ ˈnɔʒ lɨvɐ̃ˈtɐmuʃ,ˈnɐ̃w̃ sɨ lɨˈvɐ̃tɐ̃w̃,,ar reflexos
pt-conjugation,present,deitar-se,indicativo,presente,deito-me,deitas-te,deita-se,deitamo-nos,deitam-se,ˈdɐjtu-mɨ,ˈdɐjtɐʃ-tɨ,ˈdɐjtɐ-sɨ,dɐjˈtɐmu-nuʃ,ˈdɐjtɐ̃w-sɨ,,,,,,,,,,,,ar
pt-conjugation,present,lembrar-se,indicativo,presente,lembro-me,lembras-te,lembra-se,lembramo-nos,lembram-se,ˈɫẽbɾu-mɨ,ˈɫẽbɾɐʃ-tɨ,ˈɫẽbɾɐ-sɨ,ɫẽˈbɾɐmu-nuʃ,ˈɫẽbɾɐ̃w-sɨ,,,,,,,,,,,,ar reflexos
pt-conjugation,present,telefonar,indicativo,presente,telefono,telefonas,telefona,telefonamos,telefonam,tɨɫɨˈfonu,tɨɫɨˈfonɐʃ,tɨɫɨˈfonɐ,tɨɫɨfuˈnɐmuʃ,tɨɫɨˈfonɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,empurrar,indicativo,presente,empurro,empurras,empurra,empurramos,empurram,ẽˈpuʁu,ẽˈpuʁɐʃ,ẽˈpuʁɐ,ẽpuˈʁɐmuʃ,ẽˈpuʁɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,puxar,indicativo,presente,puxo,puxas,puxa,puxamos,puxam,ˈpuʃu,ˈpuʃɐʃ,ˈpuʃɐ,puˈʃɐmuʃ,ˈpuʃɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,mudar,indicativo,presente,mudo,mudas,muda,mudamos,mudam,ˈmudu,ˈmudɐʃ,ˈmudɐ,muˈdɐmuʃ,ˈmudɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,afagar,indicativo,presente,afago,afagas,afaga,afagamos,afagam,ɐˈfagu,ɐˈfagɐʃ,ɐˈfagɐ,ɐfɐˈgɐmuʃ,ɐˈfagɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,pegar,indicativo,presente,pego,pegas,pega,pegamos,pegam,ˈpegu,ˈpegɐʃ,ˈpegɐ,pɨˈgɐmuʃ,ˈpegɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,ler,indicativo,presente,leio,lês,lê,lemos,leem,ˈɫɐju,ˈɫeʃ,ˈɫe,ˈɫemuʃ,ˈɫeɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,querer,indicativo,presente,quero,queres,quer,queremos,querem,ˈkeɾu,ˈkeɾɨʃ,ˈkeɾ,kɨˈɾemuʃ,ˈkeɾɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,fazer,indicativo,presente,faço,fazes,faz,fazemos,fazem,ˈfasu,ˈfazɨʃ,ˈfaʃ,fɐˈzemuʃ,ˈfazɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,dizer,indicativo,presente,digo,dizes,diz,dizemos,dizem,ˈdigu,ˈdizɨʃ,ˈdiʃ,diˈzemuʃ,ˈdizɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,trazer,indicativo,presente,trago,traes,trae,traemos,traem,ˈtɾagu,ˈtɾaɨʃ,ˈtɾai,tɾɐˈemuʃ,ˈtɾaɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,poder,indicativo,presente,posso,podes,pode,podemos,podem,ˈposu,ˈpodɨʃ,ˈpodɨ,puˈdemuʃ,ˈpodɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,perder,indicativo,presente,perco,perdes,perde,perdemos,perdem,ˈpeɾku,ˈpeɾdɨʃ,ˈpeɾdɨ,pɨɾˈdemuʃ,ˈpeɾdɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,ser,indicativo,presente,sou,és,é,somos,são,ˈso,ˈɛʃ,ˈɛ,ˈsomuʃ,ˈsɐ̃w,,,,,,,,,,,,irregular
pt-conjugation,present,acabar,indicativo,presente,acabo,acabas,acaba,acabamos,acabam,ɐˈkabu,ɐˈkabɐʃ,ɐˈkabɐ,ɐkɐˈbɐmuʃ,ɐˈkabɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,aceitar,indicativo,presente,aceito,aceitas,aceita,aceitamos,aceitam,ɐˈsɐjtu,ɐˈsɐjtɐʃ,ɐˈsɐjtɐ,ɐsɐjˈtɐmuʃ,ɐˈsɐjtɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,afastar-se,indicativo,presente,afasto-me,afastas-te,afasta-se,afastamo-nos,afastam-se,ɐˈfaʃtu-mɨ,ɐˈfaʃtɐʃ-tɨ,ɐˈfaʃtɐ-sɨ,ɐfɐʃˈtɐmu-nuʃ,ɐˈfaʃtɐ̃w-sɨ,,,,,,,,,,,,ar reflexos
pt-conjugation,present,andar,indicativo,presente,ando,andas,anda,andamos,andam,ˈɐ̃du,ˈɐ̃dɐʃ,ˈɐ̃dɐ,ɐ̃ˈdɐmuʃ,ˈɐ̃dɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,arranjar,indicativo,presente,arranjo,arranjas,arranja,arranjamos,arranjam,aˈʁɐ̃ʒu,aˈʁɐ̃ʒɐʃ,aˈʁɐ̃ʒɐ,aʁɐ̃ˈʒɐmuʃ,aˈʁɐ̃ʒɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,arranjar-se,indicativo,presente,arranjo-me,arranjas-te,arranja-se,arranjamo-nos,arranjam-se,aˈʁɐ̃ʒu-mɨ,aˈʁɐ̃ʒɐʃ-tɨ,aˈʁɐ̃ʒɐ-sɨ,aʁɐ̃ˈʒɐmu-nuʃ,aˈʁɐ̃ʒɐ̃w-sɨ,,,,,,,,,,,,ar
pt-conjugation,present,assistir,indicativo,presente,assisto,assistes,assiste,assistimos,assistem,ɐˈsiʃtu,ɐˈsiʃtɨʃ,ɐˈsiʃtɨ,ɐsɨʃˈtimuʃ,ɐˈsiʃtɐ̃j,,,,,,,,,,,,ir
pt-conjugation,present,assombrar,indicativo,presente,assombro,assombras,assombra,assombramos,assombram,ɐˈsõbɾu,ɐˈsõbɾɐʃ,ɐˈsõbɾɐ,ɐsõˈbɾɐmuʃ,ɐˈsõbɾɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,cair,indicativo,presente,caio,cais,cai,caímos,caem,ˈkaju,ˈkajʃ,ˈkaj,kɐˈimuʃ,ˈkaɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,conhecer,indicativo,presente,conheço,conheces,conhece,conhecemos,conhecem,kuˈɲesu,kuˈɲesɨʃ,kuˈɲesɨ,kuɲɨˈsemuʃ,kuˈɲesɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,cumprir,indicativo,presente,cumpro,cumpres,cumpre,cumprimos,cumprem,ˈkũpɾu,ˈkũpɾɨʃ,ˈkũpɾɨ,kũˈpɾimuʃ,ˈkũpɾɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,discutir,indicativo,presente,discuto,discutes,discute,discutimos,discutem,dɨʃˈkutu,dɨʃˈkutɨʃ,dɨʃˈkutɨ,dɨʃkuˈtimuʃ,dɨʃˈkutɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,dividir,indicativo,presente,divido,divides,divide,dividimos,dividem,dɨˈvidu,dɨˈvidɨʃ,dɨˈvidɨ,dɨvɨˈdimuʃ,dɨˈvidɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,dormir,indicativo,presente,durmo,dormes,dorme,dormimos,dormem,ˈduɾmu,ˈdoɾmɨʃ,ˈdoɾmɨ,duɾˈmimuʃ,ˈdoɾmɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,encontrar,indicativo,presente,encontro,encontras,encontra,encontramos,encontram,ẽˈkõtɾu,ẽˈkõtɾɐʃ,ẽˈkõtɾɐ,ẽkõˈtɾɐmuʃ,ẽˈkõtɾɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,encontrar-se,indicativo,presente,encontro-me,encontras-te,encontra-se,encontramo-nos,encontram-se,ẽˈkõtɾu-mɨ,ẽˈkõtɾɐʃ-tɨ,ẽˈkõtɾɐ-sɨ,ẽkõˈtɾɐmu-nuʃ,ẽˈkõtɾɐ̃w-sɨ,,,,,,,,,,,,ar reflexos
pt-conjugation,present,ensinar,indicativo,presente,ensino,ensinas,ensina,ensinamos,ensinam,ẽˈsinu,ẽˈsinɐʃ,ẽˈsinɐ,ẽsiˈnɐmuʃ,ẽˈsinɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,entrar,indicativo,presente,entro,entras,entra,entramos,entram,ˈẽtɾu,ˈẽtɾɐʃ,ˈẽtɾɐ,ẽˈtɾɐmuʃ,ˈẽtɾɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,esquentar,indicativo,presente,esquento,esquentas,esquenta,esquentamos,esquentam,ʃˈkẽtu,ʃˈkẽtɐʃ,ʃˈkẽtɐ,ʃkẽˈtɐmuʃ,ʃˈkẽtɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,fugir,indicativo,presente,fujo,fuges,foge,fugimos,fugem,ˈfuʒu,ˈfuʒɨʃ,ˈfoʒɨ,fuˈʒimuʃ,ˈfuʒɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,ganhar,indicativo,presente,ganho,ganhas,ganha,ganhamos,ganham,ˈgɐɲu,ˈgɐɲɐʃ,ˈgɐɲɐ,gɐˈɲɐmuʃ,ˈgɐɲɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,girar,indicativo,presente,giro,giras,gira,giramos,giram,ˈʒiɾu,ˈʒiɾɐʃ,ˈʒiɾɐ,ʒiˈɾɐmuʃ,ˈʒiɾɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,imprimir,indicativo,presente,imprimo,imprimes,imprime,imprimimos,imprimem,ĩˈpɾimu,ĩˈpɾimɨʃ,ĩˈpɾimɨ,ĩpɾɨˈmimuʃ,ĩˈpɾimɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,investigar,indicativo,presente,investigo,investigas,investiga,investigamos,investigam,ĩvɨʃˈtigu,ĩvɨʃˈtigɐʃ,ĩvɨʃˈtigɐ,ĩvɨʃtiˈgɐmuʃ,ĩvɨʃˈtigɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,ir,indicativo,presente,vou,vais,vai,vamos,vão,ˈvo,ˈvajʃ,ˈvaj,ˈvɐmuʃ,ˈvɐ̃w,,,,,,,,,,,,irregular
pt-conjugation,present,lanchar,indicativo,presente,lanço,lanças,lança,lançamos,lançam,ˈɫɐ̃su,ˈɫɐ̃sɐʃ,ˈɫɐ̃sɐ,ɫɐ̃ˈsɐmuʃ,ˈɫɐ̃sɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,lavar-se,indicativo,presente,lavo-me,lavas-te,lava-se,lavamo-nos,lavam-se,ˈɫavu-mɨ,ˈɫavɐʃ-tɨ,ˈɫavɐ-sɨ,ɫɐˈvɐmu-nuʃ,ˈɫavɐ̃w-sɨ,,,,,,,,,,,,ar reflexos
pt-conjugation,present,levantar,indicativo,presente,levanto,levantas,levanta,levantamos,levantam,ɫɨˈvɐ̃tu,ɫɨˈvɐ̃tɐʃ,ɫɨˈvɐ̃tɐ,ɫɨvɐ̃ˈtɐmuʃ,ɫɨˈvɐ̃tɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,machucar,indicativo,presente,machuco,machucas,machuca,machucamos,machucam,mɐˈʃuku,mɐˈʃukɐʃ,mɐˈʃukɐ,mɐʃuˈkɐmuʃ,mɐˈʃukɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,machucar-se,indicativo,presente,machuco-me,machucas-te,machuca-se,machucamo-nos,machucam-se,mɐˈʃuku-mɨ,mɐˈʃukɐʃ-tɨ,mɐˈʃukɐ-sɨ,mɐʃuˈkɐmu-nuʃ,mɐˈʃukɐ̃w-sɨ,,,,,,,,,,,,ar reflexos
pt-conjugation,present,ocupar,indicativo,presente,ocupo,ocupas,ocupa,ocupamos,ocupam,oˈkupu,oˈkupɐʃ,oˈkupɐ,okuˈpɐmuʃ,oˈkupɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,ouvir,indicativo,presente,ouço / oiço,ouves,ouve,ouvimos,ouvem,"ˈosu,ˈojsu",ˈovɨʃ,ˈovɨ,oˈvimuʃ,ˈovɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,pedir,indicativo,presente,peço,pedes,pede,pedimos,pedem,ˈpesu,ˈpedɨʃ,ˈpedɨ,pɨˈdimuʃ,ˈpedɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,pintar,indicativo,presente,pinto,pintas,pinta,pintamos,pintam,ˈpĩtu,ˈpĩtɐʃ,ˈpĩtɐ,pĩˈtɐmuʃ,ˈpĩtɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,pôr,indicativo,presente,ponho,pões,põe,pomos,põem,ˈpoɲu,ˈpõjʃ,ˈpõj,ˈpomuʃ,ˈpõɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,poupar,indicativo,presente,poupo,poupas,poupa,poupamos,poupam,ˈpopu,ˈpopɐʃ,ˈpopɐ,poˈpɐmuʃ,ˈpopɐ̃w,,,,,,,,,,,,ar
pt-conjugation,present,poupar-se,indicativo,presente,poupo-me,poupas-te,poupa-se,poupamo-nos,poupam-se,ˈpopu-mɨ,ˈpopɐʃ-tɨ,ˈpopɐ-sɨ,poˈpɐmu-nuʃ,ˈpopɐ̃w-sɨ,,,,,,,,,,,,ar reflexos
pt-conjugation,present,resumir,indicativo,presente,resumo,resumes,resume,resumimos,resumem,ʁɨˈzumu,ʁɨˈzumɨʃ,ʁɨˈzumɨ,ʁɨzuˈmimuʃ,ʁɨˈzumɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,rir,indicativo,presente,rio,ris,ri,rimos,riem,ˈʁiu,ˈʁiʃ,ˈʁi,ˈʁimuʃ,ˈʁiɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,sair,indicativo,presente,saio,sais,sai,saímos,saem,ˈsaju,ˈsajʃ,ˈsaj,sɐˈimuʃ,ˈsaɐ̃j,,,,,,,,,,,,irregular
